"","gender","age","sibsp","parch","fare","embarked","class","who","alone","survived"
"1","Male",22,1,0,8,"S","Third","man","FALSE",0
"2","Female",38,1,0,72,"C","First","woman","FALSE",1
"3","Female",26,0,0,8,"S","Third","woman","TRUE",1
"4","Female",35,1,0,54,"S","First","woman","FALSE",1
"5","Male",35,0,0,9,"S","Third","man","TRUE",0
"6","Male",27,0,0,9,"Q","Third","man","TRUE",0
"7","Male",54,0,0,52,"S","First","man","TRUE",0
"8","Male",2,3,1,22,"S","Third","child","FALSE",0
"9","Female",27,0,2,12,"S","Third","woman","FALSE",1
"10","Female",14,1,0,31,"C","Second","child","FALSE",1
"11","Female",4,1,1,17,"S","Third","child","FALSE",1
"12","Female",58,0,0,27,"S","First","woman","TRUE",1
"13","Male",20,0,0,9,"S","Third","man","TRUE",0
"14","Male",39,1,5,32,"S","Third","man","FALSE",0
"15","Female",14,0,0,8,"S","Third","child","TRUE",0
"16","Female",55,0,0,16,"S","Second","woman","TRUE",1
"17","Male",2,4,1,30,"Q","Third","child","FALSE",0
"18","Male",27,0,0,13,"S","Second","man","TRUE",1
"19","Female",31,1,0,18,"S","Third","woman","FALSE",0
"20","Female",27,0,0,8,"C","Third","woman","TRUE",1
"21","Male",35,0,0,26,"S","Second","man","TRUE",0
"22","Male",34,0,0,13,"S","Second","man","TRUE",1
"23","Female",15,0,0,9,"Q","Third","child","TRUE",1
"24","Male",28,0,0,36,"S","First","man","TRUE",1
"25","Female",8,3,1,22,"S","Second","child","FALSE",0
"26","Female",38,1,5,32,"S","Third","woman","FALSE",1
"27","Male",27,0,0,8,"C","Third","man","TRUE",0
"28","Male",19,3,2,63,"S","First","man","FALSE",0
"29","Female",27,0,0,8,"Q","Third","woman","TRUE",1
"30","Male",27,0,0,8,"S","Third","man","TRUE",0
"31","Male",40,0,0,28,"C","First","man","TRUE",0
"32","Female",27,1,0,147,"C","First","woman","FALSE",1
"33","Female",27,0,0,8,"Q","Third","woman","TRUE",1
"34","Male",66,0,0,11,"S","Second","man","TRUE",0
"35","Male",28,1,0,83,"C","First","man","FALSE",0
"36","Male",42,1,0,52,"S","First","man","FALSE",0
"37","Male",27,0,0,8,"C","Third","man","TRUE",1
"38","Male",21,0,0,9,"S","Third","man","TRUE",0
"39","Female",18,2,0,18,"S","Third","woman","FALSE",0
"40","Female",14,1,0,12,"C","Third","child","FALSE",1
"41","Female",40,1,0,10,"S","Third","woman","FALSE",0
"42","Female",27,1,0,21,"S","Second","woman","FALSE",0
"43","Male",27,0,0,8,"C","Third","man","TRUE",0
"44","Female",3,1,2,42,"C","Second","child","FALSE",1
"45","Female",19,0,0,8,"Q","Third","woman","TRUE",1
"46","Male",27,0,0,9,"S","Third","man","TRUE",0
"47","Male",27,1,0,16,"Q","Third","man","FALSE",0
"48","Female",27,0,0,8,"Q","Third","woman","TRUE",1
"49","Male",27,2,0,22,"C","Third","man","FALSE",0
"50","Female",18,1,0,18,"S","Third","woman","FALSE",0
"51","Male",7,4,1,40,"S","Third","child","FALSE",0
"52","Male",21,0,0,8,"S","Third","man","TRUE",0
"53","Female",49,1,0,77,"C","First","woman","FALSE",1
"54","Female",29,1,0,26,"S","Second","woman","FALSE",1
"55","Male",65,0,1,62,"C","First","man","FALSE",0
"56","Male",27,0,0,36,"S","First","man","TRUE",1
"57","Female",21,0,0,11,"S","Second","woman","TRUE",1
"58","Male",28,0,0,8,"C","Third","man","TRUE",0
"59","Female",5,1,2,28,"S","Second","child","FALSE",1
"60","Male",11,5,2,47,"S","Third","child","FALSE",0
"61","Male",22,0,0,8,"C","Third","man","TRUE",0
"62","Female",38,0,0,80,"C","First","woman","TRUE",1
"63","Male",45,1,0,84,"S","First","man","FALSE",0
"64","Male",4,3,2,28,"S","Third","child","FALSE",0
"65","Male",27,0,0,28,"C","First","man","TRUE",0
"66","Male",27,1,1,16,"C","Third","man","FALSE",1
"67","Female",29,0,0,11,"S","Second","woman","TRUE",1
"68","Male",19,0,0,9,"S","Third","man","TRUE",0
"69","Female",17,4,2,8,"S","Third","woman","FALSE",1
"70","Male",26,2,0,9,"S","Third","man","FALSE",0
"71","Male",32,0,0,11,"S","Second","man","TRUE",0
"72","Female",16,5,2,47,"S","Third","woman","FALSE",0
"73","Male",21,0,0,74,"S","Second","man","TRUE",0
"74","Male",26,1,0,15,"C","Third","man","FALSE",0
"75","Male",32,0,0,57,"S","Third","man","TRUE",1
"76","Male",25,0,0,8,"S","Third","man","TRUE",0
"77","Male",27,0,0,8,"S","Third","man","TRUE",0
"78","Male",27,0,0,9,"S","Third","man","TRUE",0
"79","Male",1,0,2,29,"S","Second","child","FALSE",1
"80","Female",30,0,0,13,"S","Third","woman","TRUE",1
"81","Male",22,0,0,9,"S","Third","man","TRUE",0
"82","Male",29,0,0,10,"S","Third","man","TRUE",1
"83","Female",27,0,0,8,"Q","Third","woman","TRUE",1
"84","Male",28,0,0,48,"S","First","man","TRUE",0
"85","Female",17,0,0,11,"S","Second","woman","TRUE",1
"86","Female",33,3,0,16,"S","Third","woman","FALSE",1
"87","Male",16,1,3,35,"S","Third","man","FALSE",0
"88","Male",27,0,0,9,"S","Third","man","TRUE",0
"89","Female",23,3,2,63,"S","First","woman","FALSE",1
"90","Male",24,0,0,9,"S","Third","man","TRUE",0
"91","Male",29,0,0,9,"S","Third","man","TRUE",0
"92","Male",20,0,0,8,"S","Third","man","TRUE",0
"93","Male",46,1,0,62,"S","First","man","FALSE",0
"94","Male",26,1,2,21,"S","Third","man","FALSE",0
"95","Male",59,0,0,8,"S","Third","man","TRUE",0
"96","Male",27,0,0,9,"S","Third","man","TRUE",0
"97","Male",71,0,0,35,"C","First","man","TRUE",0
"98","Male",23,0,1,64,"C","First","man","FALSE",1
"99","Female",34,0,1,23,"S","Second","woman","FALSE",1
"100","Male",34,1,0,26,"S","Second","man","FALSE",0
"101","Female",28,0,0,8,"S","Third","woman","TRUE",0
"102","Male",27,0,0,8,"S","Third","man","TRUE",0
"103","Male",21,0,1,78,"S","First","man","FALSE",0
"104","Male",33,0,0,9,"S","Third","man","TRUE",0
"105","Male",37,2,0,8,"S","Third","man","FALSE",0
"106","Male",28,0,0,8,"S","Third","man","TRUE",0
"107","Female",21,0,0,8,"S","Third","woman","TRUE",1
"108","Male",27,0,0,8,"S","Third","man","TRUE",1
"109","Male",38,0,0,8,"S","Third","man","TRUE",0
"110","Female",27,1,0,25,"Q","Third","woman","FALSE",1
"111","Male",47,0,0,52,"S","First","man","TRUE",0
"112","Female",14,1,0,15,"C","Third","child","FALSE",0
"113","Male",22,0,0,9,"S","Third","man","TRUE",0
"114","Female",20,1,0,10,"S","Third","woman","FALSE",0
"115","Female",17,0,0,15,"C","Third","woman","TRUE",0
"116","Male",21,0,0,8,"S","Third","man","TRUE",0
"117","Male",70,0,0,8,"Q","Second","man","TRUE",0
"118","Male",29,1,0,21,"S","Second","man","FALSE",0
"119","Male",24,0,1,248,"C","First","man","FALSE",0
"120","Female",2,4,2,32,"S","Third","child","FALSE",0
"121","Male",21,2,0,74,"S","Second","man","FALSE",0
"122","Male",27,0,0,9,"S","Third","man","TRUE",0
"123","Male",32,1,0,31,"C","Second","man","FALSE",0
"124","Female",32,0,0,13,"S","Second","woman","TRUE",1
"125","Male",54,0,1,78,"S","First","man","FALSE",0
"126","Male",12,1,0,12,"C","Third","child","FALSE",1
"127","Male",27,0,0,8,"Q","Third","man","TRUE",0
"128","Male",24,0,0,8,"S","Third","man","TRUE",1
"129","Female",27,1,1,23,"C","Third","woman","FALSE",1
"130","Male",45,0,0,7,"S","Third","man","TRUE",0
"131","Male",33,0,0,8,"C","Third","man","TRUE",0
"132","Male",20,0,0,8,"S","Third","man","TRUE",0
"133","Female",47,1,0,15,"S","Third","woman","FALSE",0
"134","Female",29,1,0,26,"S","Second","woman","FALSE",1
"135","Male",25,0,0,13,"S","Second","man","TRUE",0
"136","Male",23,0,0,16,"C","Second","man","TRUE",0
"137","Female",19,0,2,27,"S","First","woman","FALSE",1
"138","Male",37,1,0,54,"S","First","man","FALSE",0
"139","Male",16,0,0,10,"S","Third","man","TRUE",0
"140","Male",24,0,0,80,"C","First","man","TRUE",0
"141","Female",27,0,2,16,"C","Third","woman","FALSE",0
"142","Female",22,0,0,8,"S","Third","woman","TRUE",1
"143","Female",24,1,0,16,"S","Third","woman","FALSE",1
"144","Male",19,0,0,7,"Q","Third","man","TRUE",0
"145","Male",18,0,0,12,"S","Second","man","TRUE",0
"146","Male",19,1,1,37,"S","Second","man","FALSE",0
"147","Male",27,0,0,8,"S","Third","man","TRUE",1
"148","Female",9,2,2,35,"S","Third","child","FALSE",0
"149","Male",36,0,2,26,"S","Second","man","FALSE",0
"150","Male",42,0,0,13,"S","Second","man","TRUE",0
"151","Male",51,0,0,13,"S","Second","man","TRUE",0
"152","Female",22,1,0,67,"S","First","woman","FALSE",1
"153","Male",56,0,0,9,"S","Third","man","TRUE",0
"154","Male",40,0,2,15,"S","Third","man","FALSE",0
"155","Male",27,0,0,8,"S","Third","man","TRUE",0
"156","Male",51,0,1,62,"C","First","man","FALSE",0
"157","Female",16,0,0,8,"Q","Third","woman","TRUE",1
"158","Male",30,0,0,9,"S","Third","man","TRUE",0
"159","Male",27,0,0,9,"S","Third","man","TRUE",0
"160","Male",27,8,2,70,"S","Third","man","FALSE",0
"161","Male",44,0,1,17,"S","Third","man","FALSE",0
"162","Female",40,0,0,16,"S","Second","woman","TRUE",1
"163","Male",26,0,0,8,"S","Third","man","TRUE",0
"164","Male",17,0,0,9,"S","Third","man","TRUE",0
"165","Male",1,4,1,40,"S","Third","child","FALSE",0
"166","Male",9,0,2,21,"S","Third","child","FALSE",1
"167","Female",27,0,1,55,"S","First","woman","FALSE",1
"168","Female",45,1,4,28,"S","Third","woman","FALSE",0
"169","Male",27,0,0,26,"S","First","man","TRUE",0
"170","Male",28,0,0,57,"S","Third","man","TRUE",0
"171","Male",61,0,0,34,"S","First","man","TRUE",0
"172","Male",4,4,1,30,"Q","Third","child","FALSE",0
"173","Female",1,1,1,12,"S","Third","child","FALSE",1
"174","Male",21,0,0,8,"S","Third","man","TRUE",0
"175","Male",56,0,0,31,"C","First","man","TRUE",0
